"keyword","name","address","city","state","zip","country","phone","phonestring","website","email","time"
"ngo in bangladesh","CSS Home Of Blessings","Khulna"," Khulna","","","","","","/url?q=http://www.cssbd.org/&sa=U&ved=0ahUKEwjZu76NnsfqAhWKXSsKHWZBDIQQ61gIgQMoDjAJ&usg=AOvVaw2XFMevORXqbZUozAGxlrOb","",""
"ngo in bangladesh","Integrated Development Foundation (IDF)","House No: 20, Avenue: 2, Block: D, Mirpur 2"," Dhaka","","","","","","/url?q=http://www.idfbd.org/&sa=U&ved=0ahUKEwjZu76NnsfqAhWKXSsKHWZBDIQQ61gIogMoDTAK&usg=AOvVaw2FZ8zUKa4xsJI2l4BNxQjQ","",""
"ngo in bangladesh","BURO Bangladesh, Meherpur Branch","Meherpur"," Meherpur","","","","","","/url?q=http://www.burobd.org/&sa=U&ved=0ahUKEwjZu76NnsfqAhWKXSsKHWZBDIQQ61gIzAMoDTAL&usg=AOvVaw0irNmb20dvlgiX4SU98Ly7","",""
"ngo in bangladesh","Al-Markazul Islami Bangladesh","21, 17 Babar Rd, Dhaka 1207, Bangladesh, 013 16 11 16 88, 01818 73 29 05"," Dhaka","","01818","","","","/url?q=https://markazbd.org/&sa=U&ved=0ahUKEwjZu76NnsfqAhWKXSsKHWZBDIQQ61gI7gMoDTAM&usg=AOvVaw2dXwcVQmkqjr6H1jg4vyym","",""
"ngo in bangladesh","মুক্তি কক্সবাজার প্রধান কার্যালয়","সারদা ভবন, গোলদীঘির পাড়, কক্সবাজার।, 4700"," Cox's Bazar","","4700","","","","/url?q=http://www.muktibd.org/&sa=U&ved=0ahUKEwjZu76NnsfqAhWKXSsKHWZBDIQQ61gImwQoDzAN&usg=AOvVaw36ZTmzjHzTa_3f43aRssWm","",""
"ngo in bangladesh","RDRS Bangladesh Dhaka","43 Rd -10, Dhaka 1230"," Dhaka","","1230","","","","","",""
"ngo in bangladesh","Sonar Bangla Foundation Bangladesh","LEVEL-5, Rupayan Shelford, 23/6, Dhaka 1207"," Dhaka","","1207","","","","/url?q=http://www.sbfus.org/&sa=U&ved=0ahUKEwjZu76NnsfqAhWKXSsKHWZBDIQQ61gI8gQoEzAP&usg=AOvVaw18IsQdbqKBgXoLnp3luJyQ","",""
"ngo in bangladesh","Water and Life Bangladesh (NGO of Eau et Vie, France)","Sat Tara Mosque Road, Begum Rokeya Ave, Dhaka"," Dhaka","","","","","","/url?q=http://eauetvie.fr/en/pays/bangladesh&sa=U&ved=0ahUKEwjZu76NnsfqAhWKXSsKHWZBDIQQ61gIoAUoETAQ&usg=AOvVaw2ZsW1Qf2LdriQoLd_aR6Qa","",""
"ngo in bangladesh","Access Foundation Bangladesh","Savar Union"," Savar-Paurashava","","","","","","","",""
"ngo in bangladesh","Civic Bangladesh","Babar Rd, Dhaka"," Dhaka","","","","","","","",""
"ngo in bangladesh","Plan International Bangladesh","Country Office, 14 Rd 35, Dhaka 1212"," Dhaka","","1212","","","","/url?q=https://plan-international.org/bangladesh&sa=U&ved=0ahUKEwjZu76NnsfqAhWKXSsKHWZBDIQQ61gIjwYoEjAT&usg=AOvVaw03xIsGzOKu5_oNnTIgchce","",""
